"","N","P","SLA"
"intercept",-120.3,-9.471,-922.8
"temp",-0.054409803204906,-0.00537582572421581,-0.428305740774753
"moisture",1.1141371408013,0.295393736316112,24.5118247360054
"deficit",-9.84151595380179e-07,-1.4980399190385e-08,-1.62669685186807e-05
"soilAlfInc",-3.805,-0.139,-37.18
"soilEntVert",-11.27,-0.7685,-107.4
"soilMol",-9.287,-0.3218,-113
"soilSpodHist",-15.45,-0.9342,-121.8
"soilUltKan",8.117,-0.05661,70.19
"u1",67.4393925612732,3.4028242521113,722.879763401883
"u2",-4.36182089412049,0.0529405320286388,-55.8056496747768
"u3",-1.04594283968271,0.217761869901155,36.427960047638
"I(moisture^2)",-21.4376986412813,-1.95507471017085,-179.169967271901
"moisture:deficit",-7.75337067800398e-07,-2.66323959348538e-07,1.08950710642584e-05
"moisture:soilAlfInc",-10.069812843962,-0.953618809849015,-92.536808802992
"moisture:soilEntVert",-6.99340830562686,-1.04635215523352,-27.0429515088309
"moisture:soilMol",-74.4815536198257,-7.09823395249969,-613.144077990783
"moisture:soilSpodHist",-35.960056135084,-3.58364668909718,-306.015796225037
"moisture:soilUltKan",-10.2113335641521,-0.589550296555473,-299.813082828629
"temp:soilAlfInc",0.136136618099747,0.00865145921294587,1.14450801834698
"temp:soilEntVert",0.138299914807216,0.0152161409685388,1.46845211365634
"temp:soilMol",0.164906838154525,0.0174406641238759,1.2650165132681
"temp:soilSpodHist",0.0443285631120454,0.00537281349093499,0.419558556680656
"temp:soilUltKan",-0.328437227366727,0.0123133390900333,-3.2813153374483
"deficit:soilAlfInc",-1.17716073212291e-06,4.21209857459154e-09,-4.42530941357536e-05
"deficit:soilEntVert",-9.81671829504432e-06,-6.40587571984783e-07,-0.000109556745613202
"deficit:soilMol",-5.52008046786758e-05,-4.77566778985682e-06,-0.000396740029973679
"deficit:soilSpodHist",6.03389371632487e-06,8.60807003356265e-08,-1.27945418377536e-05
"deficit:soilUltKan",1.96551368666737e-05,1.19348222707881e-06,0.000200170266133559
