"","N","P","SLA"
"intercept",0.784008452473075,0.546499403006134,0.505368004496236
"temp",0.201315333282206,0.145458885106816,0.140211448223336
"moisture",0.107367968654081,0.0774127864672541,0.0758798749238784
"deficit",0.115876093211665,0.0842934926677748,0.0817499602772097
"soilAlfInc",0.19181021110169,0.138661689122829,0.133825167378101
"soilEntVert",0.29034621749976,0.208948280920006,0.203832730508143
"soilMol",0.515305779276486,0.370391223826405,0.366166581751155
"soilSpodHist",0.261371229502321,0.186825082610239,0.178956651620921
"soilUltKan",1.01131828567332,0.732948453917057,0.716059093202258
"u1",0.0600096567503505,0.0416578041797025,0.0422304215779641
"u2",0.0475038846378846,0.0344921092337126,0.0331499058976191
"u3",0.0473973047025151,0.0344818821071052,0.0331308344892038
"I(moisture^2)",0.0494590458542941,0.036000562719214,0.0349003930176453
"moisture:deficit",0.0517436842765841,0.0374851803952437,0.0364604760754351
"moisture:soilAlfInc",0.0831548305047681,0.05998717030117,0.0586684789207925
"moisture:soilEntVert",0.0599971383996801,0.0432678620075059,0.0426619137682423
"moisture:soilMol",0.0534430408069292,0.0380989544806845,0.0381362190558264
"moisture:soilSpodHist",0.0721457497648454,0.0520171744846229,0.0508279760180043
"moisture:soilUltKan",0.0509476024474838,0.0374226563168152,0.036211153625904
"temp:soilAlfInc",0.13498682752092,0.0970365425630795,0.093651286193335
"temp:soilEntVert",0.0797703324927649,0.0574212087556217,0.0558203140486365
"temp:soilMol",0.0615643559295195,0.0444597431048697,0.043665581689878
"temp:soilSpodHist",0.126602775442637,0.0912149108519635,0.0895855418090696
"temp:soilUltKan",0.198634146100389,0.143920924966939,0.141076827273777
"deficit:soilAlfInc",0.0870078094639502,0.0629230250032912,0.0610042160187955
"deficit:soilEntVert",0.0654280963404718,0.0468566199161193,0.0464734351900198
"deficit:soilMol",0.0762784265057943,0.0549371238759122,0.0537500826156576
"deficit:soilSpodHist",0.0821369445722237,0.0591604960879621,0.0579676967048616
"deficit:soilUltKan",0.0682090728883943,0.0497926210853851,0.048413085123925
