Model.No,Predictors,Time,DIC,xScore,yScore
73,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + moisture*temp + moisture*soil5 + temp*soil5 +deficit*soil5,5/30/16 11:37,-1.65E+34,-8.372445869,144674.4974
74,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + moisture*deficit + moisture*soil5 + temp*soil5 +deficit*soil5,5/30/16 13:11,-1.68E+34,-8.386441385,144727.3242
78,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + moisture*deficit + moisture*temp + moisture*soil5 + temp*soil5 +deficit*soil5,5/30/16 14:52,-1.73E+34,-8.491029735,145349.9228
134,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*soil5 + temp*soil5 + deficit*temp,5/30/16 16:18,-1.74E+34,-5.642520765,145422.7465
138,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + temp*soil5 + deficit*temp,5/30/16 17:39,-1.71E+34,-5.672943063,144968.1042
140,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*soil5 + temp*soil5 + deficit*temp,5/30/16 19:06,-1.68E+34,-5.875326933,143735.928
141,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*soil5 + deficit*soil5 + deficit*temp,5/30/16 20:33,-1.66E+34,-5.755171417,144684.6496
142,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + moisture*soil5 + temp*soil5 + deficit*temp,5/30/16 22:00,-1.77E+34,-6.098514362,144608.0007
144,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*soil5 + temp*soil5 + deficit*soil5 + deficit*temp,5/30/16 23:32,-1.82E+34,-5.827521954,144904.371
145,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + moisture*soil5 + temp*soil5 + deficit*temp,5/31/16 1:01,-1.73E+34,-6.247148629,144373.3085
146,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + moisture*soil5 + deficit*soil5 + deficit*temp,5/31/16 2:29,-1.65E+34,-5.895914648,143712.2926
147,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + temp*soil5 + deficit*soil5 + deficit*temp,5/31/16 3:57,-1.79E+34,-5.895977141,145070.2077
148,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*soil5 + temp*soil5 + deficit*soil5 + deficit*temp,5/31/16 5:30,-1.89E+34,-6.087302727,146142.0737
149,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + moisture*soil5 + temp*soil5 + deficit*soil5 + deficit*temp,5/31/16 7:04,-1.93E+34,-6.134669097,146167.9871
150,~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + moisture*soil5 + temp*soil5 +deficit*soil5 + deficit*temp,5/31/16 8:40,-1.90E+34,-6.377409957,144862.9106
