"Model.No","Predictors","Time","DIC","xScore","yScore"
48,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + moisture*soil5 + temp*soil5","2016-05-26 18:08:19",-1.44627490610479e+34,-9.38893683875947,142596.607881887
51,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + temp*soil5","2016-05-26 18:48:45",-1.42334641104889e+34,-10.0652761695945,142331.426229816
53,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*soil5 + temp*soil5","2016-05-26 19:31:43",-1.51274641529368e+34,-9.53422736321755,143393.643453334
55,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + moisture*soil5 + temp*soil5","2016-05-26 20:14:53",-1.56356223917746e+34,-6.0170562063184,143904.206056637
56,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + moisture*soil5 + deficit*soil5","2016-05-26 20:57:44",-1.47277413382665e+34,-7.33658542204941,143211.606526997
57,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*soil5 + temp*soil5 + deficit*soil5","2016-05-26 21:43:14",-1.53481642787601e+34,-7.5127274249346,143213.702922455
63,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + moisture*deficit + temp*soil5 + deficit*soil5","2016-05-26 22:26:31",-1.56359068313647e+34,-13.0149633345531,143001.678100088
66,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + moisture*temp + temp*soil5 + deficit*soil5","2016-05-26 23:09:56",-1.54588240056894e+34,-11.9204532530461,142798.273327211
70,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*soil5 + temp*soil5 + deficit*soil5","2016-05-26 23:56:17",-1.43134011608115e+34,-8.94823034942839,142138.671454864
71,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*temp + moisture*soil5 + temp*soil5 + deficit*soil5","2016-05-27 00:42:26",-1.59411807475608e+34,-8.19734471994903,142857.463548096
72,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*deficit + moisture*temp + moisture*soil5 + temp*soil5 +deficit*soil5","2016-05-27 01:29:12",-1.62622533255707e+34,-9.42776104246653,144133.705886685
73,"~ temp + moisture + deficit + surplus + soil5 +u1 + u2 + u3 + moisture*surplus + moisture*temp + moisture*soil5 + temp*soil5 +deficit*soil5","2016-05-27 02:16:10",-1.6408719735202e+34,-12.2314177614272,143967.34711622
