"Model.No","Predictors","Time","DIC","xScore","yScore"
1,"~ temp + moisture + soil","2016-05-20 12:11:53",-4.86376476153712e+33,-0.408582566195997,137991.162514842
2,"~ temp + deficit  + soil","2016-05-20 12:41:33",-4.95808496589031e+33,-0.102930974820679,137199.957122021
3,"~ temp + surplus  + soil","2016-05-20 13:11:24",-4.63523986276486e+33,-0.371159440535759,137571.22848535
4,"~ temp + moisture + deficit  + soil","2016-05-20 13:41:11",-6.19469885158105e+33,-0.645305653270967,137967.307441335
5,"~ temp + moisture + surplus + soil","2016-05-20 14:10:51",-5.1865989506274e+33,-0.817282191050849,138563.58144646
6,"~ temp + moisture + deficit + surplus + soil","2016-05-20 14:41:56",-7.07558659442084e+33,-1.34627794085288,139150.229507942
7,"~ temp + moisture + deficit + surplus  + soil +u1 + u2 + u3","2016-05-20 15:15:37",-1.08411246018537e+34,-2.24277631310143,141026.610023967
8,"~ temp + moisture + deficit + soil +u1 + u2 + u3","2016-05-20 15:47:49",-7.35473995769609e+33,-2.08813246007815,138833.417218502
9,"~ temp + moisture + surplus + soil +u1 + u2 + u3","2016-05-20 16:19:11",-9.31462633093187e+33,-2.10869324127035,140952.65170944
10,"~ temp + deficit + surplus + soil +u1 + u2 + u3","2016-05-20 16:50:03",-6.8290352641324e+33,-2.27048206150995,140071.545452149
11,"~ temp + deficit + surplus +u1 + u2 + u3","2016-05-20 17:19:03",-5.09390126755596e+33,-2.1876768307013,135175.624309949
12,"~ temp + moisture + surplus +u1 + u2 + u3","2016-05-20 17:47:45",-4.68823391072812e+33,-2.03869833752019,134805.899241718
13,"~ temp + deficit + moisture +u1 + u2 + u3","2016-05-20 18:16:40",-5.37513513656685e+33,-1.97107024344728,135974.652231197
14,"~ temp + moisture + deficit + surplus  + soil +u1 + u2 + u3 + moisture*surplus","2016-05-20 18:52:42",-1.18495613975585e+34,-6.96826248265347,140996.841415726
15,"~ temp + moisture + deficit + soil +u1 + u2 + u3+ moisture*surplus","2016-05-20 19:28:58",-1.18960486177176e+34,-7.06586821584661,142630.798568842
16,"~ temp + moisture + deficit + surplus  + soil +u1 + u2 + u3 + moisture*deficit","2016-05-20 20:05:05",-9.29996098035856e+33,-7.4281655428696,140853.623017169
17,"~ temp + moisture + deficit + soil +u1 + u2 + u3+ moisture*deficit","2016-05-20 20:40:41",-9.720054671694e+33,-7.17352729181502,140282.304372756
18,"~ temp + moisture + deficit + surplus  + soil +u1 + u2 + u3 + moisture*temp","2016-05-20 21:16:42",-1.1927949752366e+34,-4.68448154197869,141719.039027227
19,"~ temp + moisture + deficit + soil +u1 + u2 + u3+ moisture*temp","2016-05-20 21:52:12",-1.05194546617689e+34,-4.7965723299257,140988.107230589
20,"~ temp + moisture + deficit + surplus  + soil +u1 + u2 + u3 + moisture*soil","2016-05-20 22:30:48",-1.18716880063521e+34,-5.24966936287827,140708.304311895
21,"~ temp + moisture + deficit + soil +u1 + u2 + u3+ moisture*soil","2016-05-20 23:08:50",-1.12759279395275e+34,-5.8693756989914,140969.541919784
22,"~ temp + moisture + deficit + surplus  + soil +u1 + u2 + u3 + temp*soil","2016-05-20 23:47:20",-1.03015133099161e+34,-2.88525971877904,143536.148863885
23,"~ temp + moisture + deficit + soil +u1 + u2 + u3+ temp*soil","2016-05-21 00:25:21",-1.12993698544997e+34,-2.85674853093073,142229.195518917
24,"~ temp + moisture + deficit + surplus  + soil +u1 + u2 + u3 + deficit*soil","2016-05-21 01:04:06",-9.16299434609578e+33,-4.05429171854449,140662.969160921
25,"~ temp + moisture + deficit + soil +u1 + u2 + u3+ deficit*soil","2016-05-21 01:41:55",-1.15135524142778e+34,-5.74608856028343,141790.495490391
26,"~ temp + moisture + deficit + surplus  + soil +u1 + u2 + u3 + moisture*surplus + moisture*deficit","2016-05-21 02:18:16",-1.13262009675784e+34,-9.20580327675062,141853.034890867
27,"~ temp + moisture + deficit + surplus  + soil +u1 + u2 + u3 + moisture*surplus + moisture*temp","2016-05-21 02:54:47",-1.16057088222827e+34,-7.79114480300937,141818.221066094
28,"~ temp + moisture + deficit + surplus  + soil +u1 + u2 + u3 + moisture*surplus + moisture*soil","2016-05-21 03:33:52",-1.26649061616565e+34,-7.47461389486618,141466.426844807
